ID, Months Active, Reviews, Average Review, Votes, Friends 
HzLh-2WyMjf6TYATFwg6NA,36,5,3.6,2,0
gYV6bmTSgbZMGkvXHVCowg,38,5,2.2,86,0
4duCDxDMiRJJbc2CmnziAg,46,7,3.57,2,0
2EeuYhLuzvvrJ9v2pVrTjQ,30,4,3,1,0
5AwX3A1D-PJkkrWuRpmpCA,49,19,4.3,36,2
EAKOI5JjZU7rZU2FtoSoEA,27,2,3.5,1,0
9QXjwdxQXhrXuGu842gojQ,65,1,5,0,0
QZWo-viRnL9EmsIAN6vHtg,65,44,3.44,36,4
liIQCDzDTnvXc7X8twBIjg,33,30,3.27,29,0
jf71E4whCnqvK0EymKD_CQ,12,1,5,0,0
hs5lmDiU7xKO23tdB4saEw,33,2,4.5,0,0
3I0fKRTtr0bmjKP5fVzwYg,65,49,4.08,61,0
bq1fa6fmeFPXa7qe2pU1Hg,64,98,3.72,131,0
tiLDO-1uzUJBlF37wA47Hw,34,1,1,19,2
_qDCRA8PTafuoXc0VWyBlw,109,198,4.04,558,8
jOQQJbs7EO4X0vEIS7FCcw,48,2,2.5,7,0
xv87nN3KfS3KsR44CPiAUg,52,10,3.9,19,0
pLCTr-amfxzp3JXli3y9Kg,26,6,3.83,4,0
yneluytnFRAf-s4i3JDbIA,19,3,3.67,3,17
g1hPSh0rTKcBpICKMOpt-g,17,4,3,5,1
muNkVkah1fMB616plw1KUw,73,58,2.83,192,0
klCitk19nqG7zK6R382lRg,8,3,5,2,0
_G_QjcByAzbxgClDiq6OEQ,39,24,3.96,22,0
aN4ZpLty-AYcvlTE7AxRUQ,37,4,5,4,0
GO2ilgG7U0zrYv8YIGGUIQ,30,3,4.75,12,0
XgAf6bN-XzTTUQIw1k6_oA,40,3,3.67,5,0
3gzof6rbqeKDc-_9PWlCpA,14,3,3.67,3,0
d3rsz09litqwVDGC6egItg,66,10,3.82,62,8
ZubK3U5PlTWy4VIQG_Wpzg,54,109,3.4,417,40
gI9xDj8hiKdRN6qDy6O_ug,37,46,3.57,83,20
vGT4H3756z6f54CydNXwFA,20,4,4.25,0,0
EUgv13qRQ0OhmG40x_fcFg,78,14,4.29,15,3
4hIgSKVFrstym0E2SEzL-g,55,37,3.59,307,1
cy3pOp2cuZbFCjfGnhnfmw,9,7,4,7,0
hNlHSw7g_ujCaVO3zBOr4g,97,93,3.62,65,25
Z1kxY2ylzi2X8uDl8OIHAQ,94,285,4.04,592,3
GDRSl9fQJ2khJnHEZg2CZQ,39,15,4.08,628,0
MtgH4ksVOPSF2pAq3Fw2gw,40,20,3.65,26,2
d4z_5arNJVUud2xC-vipyw,37,1,5,0,0
_lvBXBxpW0AFO3TQ4_yPzA,24,3,3.67,6,3
39Dq_Wx0sbudqrJXT-a73Q,29,41,3.98,33,1
_fYurOhUh42yskTGNsBhkQ,26,1,5,0,0
gGGMxtwNWxR_c8VARfbWDg,33,7,5,13,0
pZZoNEg9DhlQCpbwUm9NQw,40,29,3.78,72,17
f01B5tRtqf3k6ak1pPSAWw,40,110,4.63,116,19
_mDN0Q9ZaLfG40G7j7WCIw,27,1,5,0,2
1G7v15k03lh2Y6f2O1YKsg,54,12,4.54,16,4
KntKztuTHOnSh4Oq4C1NcQ,45,1,5,1,10
X73FFjzveWTOSJR2RfTh9A,36,6,4.2,17,1
MhtL6Nr2GRKVkgqXm380Kg,63,20,3.25,23,3
ZoU0sTLTa4wVVndrInbmTg,52,21,4.55,27,3
gW3DYv-sOMtVMefnlUJcyA,54,21,3.32,23,1
20agWQZIFCC8E_7rRPyj4w,23,2,5,1,0
9xjnMhMpTiJXj4nig4NNUg,58,269,4.04,561,17
h65LAf0gId-d3Ch6AxruKw,16,4,2.75,5,0
#NAME?,53,46,3.72,60,8
mpm2NngNAJkl5srF5A3oQA,86,111,4,267,3
OyBfnv5-vUh5jboec6A2xQ,77,17,4,16,1
EXa2LyMitrrE1F4oHfh19A,39,8,4,36,0
JpytS7FOJQ1UkrVtcVJ0rg,38,6,2.67,37,3
wWL2nVu_f9bEjuq-PvOxOg,65,50,3.6,75,1
7eTIkF2n4-lBvArxjV480Q,58,6,3.17,5,4
FumHeebS0Mmn_3UYoFIIGA,35,1,3,0,0
eadwKpqg6uhSvw1yRFYkfQ,34,2,3,3,0
jbyF4GqvAW5VQof0dHm9sg,36,7,4.43,5,0
gh6RTHCVYYLYD1_ruc9mLQ,66,34,3.85,62,1
NWdJ_Q57WZM8XGxFJEjnmg,51,8,4.5,15,1
px2RiQ7zbM9BR9ALuwkJfg,52,237,3.88,1628,3
Wn47EMhtvJQZTsfvvcnkJg,48,37,2.97,101,4
GPLihMW0dw3sJCVPXM8WDg,15,10,4,9,0
vsLhFO05t81aE2m_crM9Xw,58,6,2.8,5,0
GKzWSBv2Dpx3ziMFQ4S0gA,32,44,3.07,30,0
GJxgafXp77dMwU50vnqfIA,76,6,3.33,13,0
nOA4lSY3D4xsUXJBT4H0pw,68,464,3.61,5469,28
B-4_1ATtqCuFlKk1c24b2w,14,6,4,7,1
5S3qIi-EHG634Mx-_mpBQg,22,28,4.15,18,3
g4luSu3EFv3tmEAj1XrNog,31,12,4.55,12,0
xK60fFMKvhD1dO8UBLGJbw,52,2,5,0,0
X0VDOicOaSMTLYRfyrLdpQ,81,102,3.99,170,3
FsTcrwUPQ9ZJFwHyavM1xw,17,1,5,1,0
skiZJN5OJTyyqP2oRVNhoQ,40,16,4.44,20,10
rYHMBiZy-BfP75_DA98hvg,46,6,4.4,2,0
c8brOoAF-73h_O_3CnVmag,28,6,3.5,6,3
Fr3tbBt8mUa0GQWcK8dd8g,40,9,4.62,5,0
6NXn9bd7TEbmiS7e8yf5Zw,69,666,3.23,1564,18
oj1OfUVWkLKnONMGLsqTSA,25,9,2,18,5
9QSI33wlJGBQByolpsNOqA,55,8,4,19,1
zo6FDERadR5cvnOzX9FLrg,45,3,5,0,0
Gwzz8Z8-Xdfsum3aBOI9bw,34,80,3.4,83,0
i3QXYR0F2A8JptddWEKgkg,24,25,3.25,10,0
9QKLP4w8DBktVfC28HAgxg,27,4,3,13,0
